time.time(), c1pp, c2pp, c1rms, c2rms
1727870374.0140417, 2.024E+00, 2.008E+01, 6.892E-01, 6.986E+00 
1727870374.1315644, 2.024E+00, 2.005E+01, 6.887E-01, 6.989E+00 
1727870374.2460403, 2.030E+00, 2.007E+01, 6.889E-01, 6.985E+00 
1727870374.3588772, 2.028E+00, 2.009E+01, 6.891E-01, 6.988E+00 
1727870374.4774632, 2.035E+00, 2.008E+01, 6.890E-01, 6.989E+00 
1727870374.5942433, 2.023E+00, 2.007E+01, 6.890E-01, 6.987E+00 
1727870374.709686, 2.032E+00, 2.006E+01, 6.889E-01, 6.987E+00 
1727870374.8273854, 2.032E+00, 2.009E+01, 6.889E-01, 6.987E+00 
1727870374.9400554, 2.033E+00, 2.008E+01, 6.888E-01, 6.987E+00 
1727870375.0555544, 2.035E+00, 2.006E+01, 6.885E-01, 6.987E+00 
1727870375.1693482, 2.030E+00, 2.008E+01, 6.888E-01, 6.990E+00 
1727870375.286141, 2.036E+00, 2.006E+01, 6.890E-01, 6.987E+00 
1727870375.4021842, 2.032E+00, 2.004E+01, 6.889E-01, 6.986E+00 
1727870375.520338, 2.027E+00, 2.008E+01, 6.888E-01, 6.988E+00 
1727870375.636394, 2.028E+00, 2.011E+01, 6.888E-01, 6.985E+00 
1727870375.7520432, 2.032E+00, 2.005E+01, 6.888E-01, 6.987E+00 
1727870375.8690083, 2.030E+00, 2.005E+01, 6.891E-01, 6.988E+00 
1727870375.9823194, 2.029E+00, 2.010E+01, 6.891E-01, 6.988E+00 
1727870376.106805, 2.029E+00, 2.009E+01, 6.892E-01, 6.987E+00 
1727870376.226563, 2.029E+00, 2.011E+01, 6.890E-01, 6.986E+00 
1727870376.351979, 2.030E+00, 2.007E+01, 6.889E-01, 6.985E+00 
1727870376.4731758, 2.027E+00, 2.008E+01, 6.887E-01, 6.987E+00 
1727870376.5870125, 2.031E+00, 2.005E+01, 6.887E-01, 6.989E+00 
1727870376.7002413, 2.037E+00, 2.008E+01, 6.892E-01, 6.989E+00 
1727870376.81668, 2.024E+00, 2.008E+01, 6.888E-01, 6.989E+00 
1727870376.9324546, 2.036E+00, 2.008E+01, 6.890E-01, 6.987E+00 
1727870377.0446482, 2.039E+00, 2.008E+01, 6.891E-01, 6.988E+00 
1727870377.1625497, 2.026E+00, 2.009E+01, 6.891E-01, 6.987E+00 
1727870377.2757084, 2.036E+00, 2.007E+01, 6.894E-01, 6.990E+00 
1727870377.393016, 2.031E+00, 2.008E+01, 6.889E-01, 6.989E+00 
1727870377.5057561, 2.039E+00, 2.009E+01, 6.891E-01, 6.986E+00 
