time.time(), c1pp, c2pp
1727768419.408072, 2.019E+00, 2.000E+01
1727768419.5205839, 2.017E+00, 2.000E+01
1727768419.6277645, 2.010E+00, 2.007E+01
1727768419.7406933, 2.022E+00, 1.997E+01
1727768419.8495228, 2.010E+00, 2.008E+01
1727768419.9617417, 2.029E+00, 2.001E+01
1727768420.0716236, 2.015E+00, 2.007E+01
1727768420.1779404, 2.013E+00, 1.997E+01
1727768420.279723, 2.015E+00, 2.001E+01
1727768420.3883433, 2.023E+00, 2.001E+01
1727768420.4980514, 2.013E+00, 2.004E+01
1727768420.607126, 2.016E+00, 2.001E+01
1727768420.718821, 2.018E+00, 2.006E+01
1727768420.8197367, 2.018E+00, 2.004E+01
1727768420.934707, 2.013E+00, 2.005E+01
1727768421.0429819, 2.013E+00, 1.996E+01
1727768421.153048, 2.016E+00, 2.001E+01
1727768421.2626934, 2.016E+00, 1.998E+01
1727768421.3766594, 2.028E+00, 2.009E+01
1727768421.4839413, 2.016E+00, 1.996E+01
1727768421.6061027, 2.017E+00, 2.007E+01
1727768421.724463, 2.013E+00, 1.999E+01
1727768421.8334987, 2.016E+00, 1.999E+01
1727768421.953142, 2.024E+00, 1.994E+01
1727768422.0590255, 2.009E+00, 2.005E+01
1727768422.1665888, 2.009E+00, 2.000E+01
1727768422.2755933, 2.024E+00, 1.998E+01
1727768422.3828719, 2.004E+00, 2.000E+01
1727768422.4834826, 2.013E+00, 2.001E+01
1727768422.6060958, 2.011E+00, 2.001E+01
1727768422.7149682, 2.017E+00, 1.999E+01
1727768422.823105, 2.026E+00, 2.003E+01
1727768422.9306612, 2.022E+00, 2.003E+01
1727768423.0421448, 2.017E+00, 2.004E+01
1727768423.1527972, 2.008E+00, 1.998E+01
1727768423.2692373, 2.009E+00, 2.000E+01
1727768423.3760426, 2.020E+00, 2.005E+01
1727768423.4871657, 2.019E+00, 2.001E+01
1727768423.5945733, 2.026E+00, 2.002E+01
1727768423.7013695, 2.007E+00, 2.001E+01
1727768423.808724, 2.013E+00, 2.009E+01
1727768423.9209878, 2.013E+00, 2.001E+01
1727768424.0272384, 2.005E+00, 2.001E+01
1727768424.134986, 2.017E+00, 1.999E+01
1727768424.2454088, 2.012E+00, 1.999E+01
1727768424.3531902, 2.016E+00, 1.993E+01
1727768424.462057, 2.018E+00, 2.003E+01
1727768424.5692403, 2.015E+00, 1.991E+01
1727768424.6772094, 2.018E+00, 2.002E+01
1727768424.7846875, 2.020E+00, 2.002E+01
1727768424.8898926, 2.013E+00, 2.006E+01
1727768424.996904, 2.022E+00, 2.003E+01
1727768425.105143, 2.019E+00, 1.999E+01
1727768425.212372, 2.017E+00, 1.997E+01
1727768425.3244238, 2.016E+00, 2.000E+01
1727768425.432081, 2.023E+00, 2.000E+01
1727768425.5419767, 2.013E+00, 2.002E+01
1727768425.6528878, 2.019E+00, 2.000E+01
1727768425.7606997, 2.016E+00, 1.999E+01
1727768425.8729405, 2.011E+00, 2.001E+01
1727768425.9734437, 2.019E+00, 2.005E+01
1727768426.0924637, 2.011E+00, 2.000E+01
1727768426.206106, 2.015E+00, 1.999E+01
1727768426.3235908, 2.028E+00, 2.005E+01
1727768426.4279099, 2.020E+00, 1.996E+01
1727768426.5358934, 2.023E+00, 2.009E+01
1727768426.6480618, 2.019E+00, 2.010E+01
1727768426.7572632, 2.024E+00, 2.002E+01
1727768426.8673215, 2.019E+00, 2.004E+01
1727768426.9799097, 2.013E+00, 2.004E+01
1727768427.099008, 2.011E+00, 2.001E+01
1727768427.2083166, 2.018E+00, 2.000E+01
1727768427.3202457, 2.030E+00, 2.004E+01
1727768427.4204876, 2.030E+00, 2.004E+01
1727768427.5273974, 2.023E+00, 2.005E+01
1727768427.6359265, 2.024E+00, 2.004E+01
1727768427.7585638, 2.029E+00, 2.004E+01
1727768427.8718293, 2.012E+00, 1.995E+01
1727768427.973446, 2.009E+00, 1.997E+01
1727768428.0814111, 2.037E+00, 2.000E+01
1727768428.1905034, 2.016E+00, 2.004E+01
