time.time() c1rms c3rms c1pp c3pp
1725454831.1170375 8.6441E-01 1.4082E+00 2.4899E+00 4.0113E+00
1725454831.319043 8.6442E-01 1.4081E+00 2.4934E+00 4.0097E+00
1725454831.5205998 8.6445E-01 1.4082E+00 2.4911E+00 4.0096E+00
1725454831.7265382 8.6445E-01 1.4082E+00 2.4899E+00 4.0113E+00
1725454831.9284582 8.6441E-01 1.4081E+00 2.4865E+00 4.0113E+00
1725454832.1370547 8.6444E-01 1.4081E+00 2.4911E+00 4.0131E+00
1725454832.3356602 8.6436E-01 1.4082E+00 2.4899E+00 4.0114E+00
1725454832.5413418 8.6448E-01 1.4082E+00 2.4922E+00 4.0147E+00
1725454832.7508469 8.6439E-01 1.4081E+00 2.4922E+00 4.0097E+00
1725454832.955289 8.6438E-01 1.4082E+00 2.4900E+00 4.0079E+00
1725454833.1510692 8.6438E-01 1.4082E+00 2.4900E+00 4.0129E+00
1725454833.3552608 8.6437E-01 1.4082E+00 2.4911E+00 4.0129E+00
1725454833.5572762 8.6439E-01 1.4082E+00 2.4945E+00 4.0131E+00
1725454833.7683656 8.6445E-01 1.4082E+00 2.4911E+00 4.0096E+00
1725454833.9744923 8.6440E-01 1.4082E+00 2.4877E+00 4.0096E+00
1725454834.176227 8.6446E-01 1.4082E+00 2.4934E+00 4.0096E+00
1725454834.374469 8.6445E-01 1.4082E+00 2.4877E+00 4.0147E+00
1725454834.5760944 8.6444E-01 1.4082E+00 2.4922E+00 4.0131E+00
1725454834.7785137 8.6443E-01 1.4081E+00 2.4865E+00 4.0096E+00
1725454834.9858496 8.6442E-01 1.4081E+00 2.4888E+00 4.0113E+00
1725454835.1874857 8.6442E-01 1.4082E+00 2.4888E+00 4.0131E+00
1725454835.3924377 8.6444E-01 1.4082E+00 2.4911E+00 4.0079E+00
1725454835.6082363 8.6443E-01 1.4082E+00 2.4877E+00 4.0079E+00
1725454835.8178258 8.6444E-01 1.4082E+00 2.4911E+00 4.0097E+00
1725454836.0255527 8.6441E-01 1.4082E+00 2.4899E+00 4.0113E+00
