time.time(), c2vavg
1725615887.4414234, -1.6255E+00
1725615887.564558, -1.6255E+00
1725615887.6916988, -1.6255E+00
1725615887.8329704, -1.6255E+00
1725615887.9666116, -1.6255E+00
1725615888.0918207, -1.6255E+00
1725615888.229629, -1.6255E+00
1725615888.3546972, -1.6255E+00
1725615888.4783077, -1.6255E+00
1725615888.6040814, -1.6255E+00
1725615888.7274587, -1.6255E+00
1725615888.8503757, -1.6255E+00
1725615888.976373, -1.6255E+00
1725615889.1085691, -1.6255E+00
1725615889.246201, -1.6255E+00
1725615889.3758543, -1.6255E+00
1725615889.5084996, -1.6254E+00
1725615889.6462533, -1.6254E+00
1725615889.7767265, -1.6254E+00
1725615889.9183478, -1.6254E+00
1725615890.0489979, -1.6254E+00
1725615890.1726675, -1.6254E+00
1725615890.2993267, -1.6254E+00
1725615890.438722, -1.6254E+00
1725615890.5733957, -1.6254E+00
1725615890.701039, -1.6254E+00
1725615890.8384163, -1.6254E+00
1725615890.965153, -1.6254E+00
1725615891.0887148, -1.6254E+00
1725615891.21233, -1.6254E+00
1725615891.3394356, -1.6254E+00
1725615891.4768994, -1.6254E+00
1725615891.6125414, -1.6254E+00
1725615891.7376776, -1.6254E+00
1725615891.8631713, -1.6254E+00
1725615892.0003617, -1.6254E+00
1725615892.1252012, -1.6255E+00
1725615892.2491012, -1.6255E+00
1725615892.3726897, -1.6255E+00
1725615892.507966, -1.6255E+00
1725615892.641781, -1.6254E+00
1725615892.777692, -1.6254E+00
1725615892.9086933, -1.6254E+00
1725615893.0456305, -1.6254E+00
1725615893.1821105, -1.6254E+00
1725615893.3201158, -1.6254E+00
1725615893.446319, -1.6254E+00
1725615893.5692647, -1.6254E+00
1725615893.695925, -1.6254E+00
1725615893.8254414, -1.6254E+00
1725615893.9640706, -1.6254E+00
1725615894.09871, -1.6254E+00
1725615894.2263696, -1.6254E+00
1725615894.3503294, -1.6254E+00
1725615894.4751616, -1.6254E+00
1725615894.614792, -1.6254E+00
1725615894.7571483, -1.6254E+00
1725615894.8929913, -1.6254E+00
1725615895.0306225, -1.6254E+00
1725615895.1674433, -1.6254E+00
1725615895.3021688, -1.6254E+00
1725615895.4329805, -1.6254E+00
1725615895.5566072, -1.6254E+00
1725615895.6873436, -1.6254E+00
1725615895.8169513, -1.6254E+00
1725615895.9426157, -1.6254E+00
1725615896.0843968, -1.6255E+00
1725615896.2199423, -1.6255E+00
1725615896.3436544, -1.6255E+00
1725615896.4708884, -1.6255E+00
1725615896.6075306, -1.6255E+00
1725615896.7333913, -1.6254E+00
1725615896.856173, -1.6254E+00
1725615896.980516, -1.6254E+00
1725615897.1044288, -1.6254E+00
1725615897.242267, -1.6255E+00
1725615897.3805778, -1.6255E+00
1725615897.5200157, -1.6254E+00
1725615897.6442945, -1.6254E+00
1725615897.7711093, -1.6254E+00
1725615897.9041371, -1.6254E+00
1725615898.036765, -1.6254E+00
1725615898.175691, -1.6254E+00
1725615898.2978818, -1.6254E+00
1725615898.4236994, -1.6255E+00
1725615898.5477788, -1.6254E+00
1725615898.6824687, -1.6254E+00
1725615898.8212197, -1.6254E+00
1725615898.9543667, -1.6254E+00
1725615899.0921679, -1.6254E+00
1725615899.2164423, -1.6254E+00
1725615899.3394701, -1.6254E+00
1725615899.4771018, -1.6254E+00
1725615899.6017675, -1.6254E+00
1725615899.7463808, -1.6254E+00
1725615899.8790264, -1.6254E+00
1725615900.0065436, -1.6254E+00
1725615900.1441672, -1.6254E+00
1725615900.2778113, -1.6255E+00
1725615900.414012, -1.6254E+00
1725615900.5477726, -1.6254E+00
1725615900.6852932, -1.6254E+00
1725615900.8099868, -1.6254E+00
1725615900.9347346, -1.6254E+00
1725615901.0729768, -1.6254E+00
1725615901.2101762, -1.6254E+00
1725615901.334895, -1.6254E+00
1725615901.4721477, -1.6254E+00
1725615901.5951502, -1.6254E+00
1725615901.7201858, -1.6254E+00
1725615901.8430245, -1.6254E+00
1725615901.970196, -1.6254E+00
1725615902.0943444, -1.6254E+00
1725615902.231211, -1.6254E+00
1725615902.3568075, -1.6254E+00
1725615902.4953265, -1.6255E+00
1725615902.6350946, -1.6255E+00
1725615902.7704108, -1.6255E+00
1725615902.8943307, -1.6255E+00
1725615903.0199406, -1.6255E+00
1725615903.1547756, -1.6255E+00
1725615903.286525, -1.6254E+00
1725615903.4109988, -1.6254E+00
1725615903.5437138, -1.6254E+00
1725615903.67641, -1.6254E+00
1725615903.8147428, -1.6254E+00
1725615903.9468846, -1.6254E+00
1725615904.078529, -1.6255E+00
1725615904.2206576, -1.6254E+00
1725615904.355298, -1.6255E+00
1725615904.4865248, -1.6255E+00
1725615904.61019, -1.6255E+00
1725615904.7419105, -1.6255E+00
1725615904.8751862, -1.6255E+00
1725615904.9993198, -1.6254E+00
1725615905.1242363, -1.6254E+00
1725615905.2616334, -1.6254E+00
1725615905.3980756, -1.6254E+00
1725615905.5254617, -1.6254E+00
1725615905.6483967, -1.6254E+00
1725615905.7713807, -1.6254E+00
1725615905.8983674, -1.6253E+00
1725615906.0297139, -1.6253E+00
1725615906.1615245, -1.6253E+00
1725615906.2926183, -1.6253E+00
1725615906.426357, -1.6253E+00
1725615906.5610852, -1.6253E+00
1725615906.687155, -1.6253E+00
1725615906.8113866, -1.6253E+00
1725615906.9385278, -1.6253E+00
1725615907.0759172, -1.6253E+00
1725615907.1997197, -1.6253E+00
1725615907.3252916, -1.6253E+00
1725615907.4636726, -1.6253E+00
1725615907.5884392, -1.6254E+00
1725615907.7132156, -1.6254E+00
1725615907.8366973, -1.6254E+00
1725615907.9614058, -1.6254E+00
1725615908.0883126, -1.6254E+00
1725615908.2263527, -1.6254E+00
1725615908.361488, -1.6254E+00
1725615908.491651, -1.6255E+00
1725615908.6175072, -1.6255E+00
1725615908.741925, -1.6255E+00
1725615908.8670712, -1.6254E+00
1725615908.9957275, -1.6254E+00
1725615909.1363509, -1.6254E+00
1725615909.269995, -1.6254E+00
1725615909.4016414, -1.6254E+00
1725615909.5372796, -1.6255E+00
1725615909.6637099, -1.6255E+00
1725615909.800378, -1.6255E+00
1725615909.9251273, -1.6254E+00
1725615910.064959, -1.6255E+00
1725615910.2026694, -1.6255E+00
1725615910.325429, -1.6255E+00
1725615910.4502554, -1.6255E+00
1725615910.5737157, -1.6255E+00
1725615910.7082958, -1.6255E+00
1725615910.8380156, -1.6255E+00
1725615910.962236, -1.6255E+00
1725615911.0871234, -1.6255E+00
1725615911.2100902, -1.6255E+00
1725615911.3480496, -1.6255E+00
1725615911.4728801, -1.6255E+00
1725615911.598554, -1.6255E+00
1725615911.7339935, -1.6255E+00
1725615911.8588398, -1.6255E+00
1725615911.984342, -1.6255E+00
1725615912.1123505, -1.6255E+00
1725615912.2516022, -1.6255E+00
1725615912.3918839, -1.6255E+00
1725615912.5165856, -1.6255E+00
1725615912.6570597, -1.6255E+00
1725615912.7939126, -1.6256E+00
1725615912.9262624, -1.6255E+00
1725615913.0572786, -1.6255E+00
1725615913.1811953, -1.6255E+00
1725615913.3060448, -1.6255E+00
1725615913.4496603, -1.6255E+00
1725615913.588289, -1.6254E+00
1725615913.721932, -1.6254E+00
1725615913.8555758, -1.6254E+00
1725615913.980242, -1.6255E+00
1725615914.1060555, -1.6255E+00
1725615914.2419746, -1.6255E+00
1725615914.3766594, -1.6255E+00
1725615914.5145118, -1.6255E+00
1725615914.6531096, -1.6255E+00
1725615914.7900102, -1.6255E+00
1725615914.9178987, -1.6255E+00
1725615915.0555494, -1.6255E+00
1725615915.1940825, -1.6255E+00
1725615915.3339672, -1.6255E+00
1725615915.4600103, -1.6255E+00
1725615915.583285, -1.6255E+00
1725615915.7082167, -1.6255E+00
1725615915.8314173, -1.6254E+00
1725615915.9562914, -1.6254E+00
1725615916.081311, -1.6255E+00
1725615916.2268465, -1.6255E+00
1725615916.3556037, -1.6255E+00
1725615916.4833975, -1.6255E+00
1725615916.608501, -1.6255E+00
1725615916.735139, -1.6255E+00
1725615916.8602164, -1.6255E+00
1725615917.0059898, -1.6255E+00
1725615917.137713, -1.6255E+00
1725615917.2632332, -1.6255E+00
1725615917.402047, -1.6255E+00
1725615917.539291, -1.6255E+00
1725615917.665092, -1.6255E+00
1725615917.7897463, -1.6255E+00
1725615917.9232044, -1.6255E+00
1725615918.0522337, -1.6255E+00
1725615918.1766708, -1.6255E+00
1725615918.3015862, -1.6255E+00
1725615918.4262877, -1.6255E+00
1725615918.5638905, -1.6254E+00
1725615918.6890059, -1.6254E+00
1725615918.81578, -1.6254E+00
1725615918.9410865, -1.6254E+00
1725615919.0796127, -1.6254E+00
1725615919.2029169, -1.6254E+00
1725615919.333539, -1.6254E+00
1725615919.4731655, -1.6254E+00
1725615919.6088028, -1.6254E+00
1725615919.7444398, -1.6254E+00
1725615919.8726666, -1.6254E+00
1725615920.0093365, -1.6254E+00
1725615920.1366885, -1.6254E+00
1725615920.2599347, -1.6254E+00
1725615920.3888583, -1.6254E+00
1725615920.5133035, -1.6253E+00
1725615920.638541, -1.6254E+00
1725615920.7634535, -1.6254E+00
1725615920.9022255, -1.6254E+00
1725615921.045057, -1.6254E+00
1725615921.180431, -1.6253E+00
1725615921.3044865, -1.6253E+00
1725615921.4299612, -1.6253E+00
1725615921.5675464, -1.6253E+00
1725615921.690443, -1.6254E+00
1725615921.8171794, -1.6254E+00
1725615921.9550917, -1.6254E+00
1725615922.0808291, -1.6254E+00
1725615922.2079554, -1.6254E+00
1725615922.341007, -1.6254E+00
1725615922.4796302, -1.6254E+00
1725615922.604099, -1.6254E+00
1725615922.736799, -1.6254E+00
1725615922.8679342, -1.6254E+00
1725615922.9939616, -1.6254E+00
1725615923.1175432, -1.6254E+00
1725615923.2512558, -1.6254E+00
1725615923.3822765, -1.6255E+00
1725615923.507703, -1.6255E+00
1725615923.6456363, -1.6255E+00
1725615923.7783444, -1.6255E+00
1725615923.9299388, -1.6255E+00
1725615924.0660822, -1.6255E+00
1725615924.2067282, -1.6255E+00
1725615924.3391235, -1.6254E+00
1725615924.480042, -1.6254E+00
1725615924.6180172, -1.6254E+00
1725615924.7423575, -1.6255E+00
1725615924.8680174, -1.6255E+00
1725615924.9926848, -1.6255E+00
1725615925.130502, -1.6255E+00
1725615925.2542403, -1.6255E+00
1725615925.3779092, -1.6255E+00
1725615925.5149996, -1.6255E+00
1725615925.6501682, -1.6255E+00
1725615925.7811828, -1.6255E+00
1725615925.905433, -1.6255E+00
1725615926.029184, -1.6255E+00
1725615926.156426, -1.6255E+00
1725615926.298456, -1.6255E+00
1725615926.432033, -1.6255E+00
1725615926.5592759, -1.6255E+00
1725615926.6992857, -1.6255E+00
1725615926.835658, -1.6255E+00
1725615926.960325, -1.6255E+00
1725615927.0887482, -1.6255E+00
1725615927.2113433, -1.6255E+00
1725615927.3354113, -1.6255E+00
1725615927.4730046, -1.6255E+00
1725615927.5952542, -1.6255E+00
1725615927.7189693, -1.6255E+00
1725615927.8632567, -1.6255E+00
1725615927.9972672, -1.6255E+00
1725615928.1352093, -1.6254E+00
1725615928.272729, -1.6254E+00
1725615928.398084, -1.6254E+00
1725615928.5214822, -1.6254E+00
1725615928.647137, -1.6254E+00
1725615928.793939, -1.6254E+00
1725615928.923562, -1.6254E+00
1725615929.0543497, -1.6254E+00
1725615929.1843054, -1.6255E+00
1725615929.3117013, -1.6255E+00
1725615929.450699, -1.6255E+00
1725615929.587837, -1.6255E+00
1725615929.711403, -1.6255E+00
1725615929.836182, -1.6255E+00
1725615929.9609635, -1.6255E+00
1725615930.0848665, -1.6255E+00
1725615930.233575, -1.6255E+00
1725615930.363227, -1.6255E+00
1725615930.5068433, -1.6255E+00
1725615930.6335046, -1.6255E+00
1725615930.7581723, -1.6255E+00
1725615930.8818629, -1.6255E+00
1725615931.011906, -1.6255E+00
1725615931.143952, -1.6255E+00
1725615931.2822661, -1.6255E+00
1725615931.4081419, -1.6255E+00
1725615931.533174, -1.6255E+00
1725615931.6707928, -1.6255E+00
1725615931.8092828, -1.6255E+00
1725615931.9469416, -1.6254E+00
1725615932.0729737, -1.6254E+00
1725615932.2036436, -1.6254E+00
1725615932.3346884, -1.6254E+00
1725615932.460455, -1.6254E+00
1725615932.5829573, -1.6254E+00
1725615932.7086263, -1.6254E+00
1725615932.833346, -1.6254E+00
1725615932.9609666, -1.6254E+00
1725615933.0986018, -1.6254E+00
1725615933.2223892, -1.6255E+00
1725615933.3610525, -1.6254E+00
1725615933.4855433, -1.6254E+00
1725615933.6237886, -1.6254E+00
1725615933.7477918, -1.6254E+00
1725615933.87348, -1.6254E+00
1725615933.9986525, -1.6254E+00
1725615934.1309028, -1.6255E+00
1725615934.2667332, -1.6255E+00
1725615934.4034982, -1.6255E+00
1725615934.5441577, -1.6255E+00
1725615934.6837838, -1.6255E+00
1725615934.8194203, -1.6255E+00
1725615934.9540603, -1.6255E+00
1725615935.0904508, -1.6256E+00
1725615935.2350633, -1.6256E+00
1725615935.366403, -1.6256E+00
1725615935.4911509, -1.6256E+00
1725615935.6158628, -1.6256E+00
1725615935.747801, -1.6256E+00
1725615935.8856754, -1.6256E+00
1725615936.0234396, -1.6256E+00
1725615936.1611295, -1.6256E+00
1725615936.285839, -1.6256E+00
1725615936.4120243, -1.6256E+00
1725615936.5352154, -1.6256E+00
1725615936.6618452, -1.6255E+00
1725615936.788258, -1.6255E+00
1725615936.9243972, -1.6256E+00
1725615937.0561602, -1.6256E+00
1725615937.1912906, -1.6255E+00
1725615937.3160448, -1.6255E+00
1725615937.4422839, -1.6255E+00
1725615937.5654888, -1.6255E+00
1725615937.690003, -1.6255E+00
1725615937.81618, -1.6255E+00
1725615937.942514, -1.6256E+00
1725615938.07886, -1.6255E+00
1725615938.2038827, -1.6255E+00
1725615938.3280215, -1.6254E+00
1725615938.4546828, -1.6254E+00
1725615938.5966825, -1.6254E+00
1725615938.7336595, -1.6254E+00
1725615938.8568394, -1.6254E+00
1725615939.001422, -1.6254E+00
1725615939.1370592, -1.6255E+00
1725615939.272696, -1.6255E+00
1725615939.4040992, -1.6255E+00
1725615939.5287511, -1.6256E+00
1725615939.6554346, -1.6256E+00
1725615939.7903717, -1.6256E+00
1725615939.9172795, -1.6256E+00
1725615940.0551453, -1.6255E+00
1725615940.1785924, -1.6255E+00
1725615940.303059, -1.6255E+00
1725615940.4434967, -1.6255E+00
1725615940.56623, -1.6254E+00
1725615940.6894414, -1.6255E+00
1725615940.8136399, -1.6255E+00
1725615940.9365406, -1.6255E+00
1725615941.0599735, -1.6255E+00
1725615941.1845531, -1.6256E+00
1725615941.3127253, -1.6256E+00
1725615941.4355085, -1.6255E+00
1725615941.5612423, -1.6255E+00
1725615941.6998951, -1.6255E+00
1725615941.8319552, -1.6255E+00
1725615941.9637496, -1.6255E+00
1725615942.0886912, -1.6255E+00
1725615942.2146149, -1.6255E+00
1725615942.3396907, -1.6255E+00
1725615942.4640892, -1.6255E+00
1725615942.5888157, -1.6255E+00
1725615942.7263563, -1.6255E+00
1725615942.8503273, -1.6255E+00
1725615942.973788, -1.6255E+00
1725615943.0977285, -1.6256E+00
1725615943.2360535, -1.6256E+00
1725615943.3602386, -1.6256E+00
1725615943.4887571, -1.6256E+00
1725615943.6301723, -1.6256E+00
1725615943.7728298, -1.6256E+00
1725615943.9067516, -1.6257E+00
1725615944.0324118, -1.6257E+00
1725615944.1592536, -1.6257E+00
1725615944.3038595, -1.6256E+00
1725615944.440488, -1.6256E+00
1725615944.5731335, -1.6255E+00
1725615944.708773, -1.6255E+00
1725615944.8446803, -1.6255E+00
1725615944.9813323, -1.6255E+00
1725615945.1072195, -1.6255E+00
1725615945.230857, -1.6256E+00
1725615945.3555245, -1.6256E+00
1725615945.4802184, -1.6256E+00
1725615945.6168249, -1.6257E+00
1725615945.7394981, -1.6256E+00
1725615945.8631668, -1.6255E+00
1725615945.9888308, -1.6255E+00
1725615946.1134984, -1.6255E+00
1725615946.238163, -1.6255E+00
1725615946.3638277, -1.6255E+00
1725615946.4874988, -1.6255E+00
1725615946.6251295, -1.6255E+00
1725615946.7497957, -1.6255E+00
1725615946.873494, -1.6255E+00
1725615946.9981313, -1.6255E+00
1725615947.1221979, -1.6255E+00
1725615947.2582047, -1.6255E+00
1725615947.3873622, -1.6255E+00
1725615947.5150867, -1.6255E+00
1725615947.648338, -1.6255E+00
1725615947.7728145, -1.6255E+00
1725615947.8970506, -1.6255E+00
1725615948.036255, -1.6255E+00
1725615948.1734226, -1.6255E+00
1725615948.3114038, -1.6255E+00
1725615948.435196, -1.6255E+00
1725615948.5728505, -1.6255E+00
1725615948.7212846, -1.6255E+00
1725615948.8539317, -1.6255E+00
1725615948.9905643, -1.6255E+00
1725615949.1202166, -1.6255E+00
1725615949.2593172, -1.6255E+00
1725615949.38521, -1.6255E+00
1725615949.5111156, -1.6255E+00
1725615949.6477547, -1.6255E+00
1725615949.7712443, -1.6255E+00
1725615949.8963006, -1.6255E+00
1725615950.0218365, -1.6255E+00
1725615950.1588507, -1.6256E+00
1725615950.2833383, -1.6256E+00
1725615950.405679, -1.6256E+00
1725615950.5307171, -1.6256E+00
1725615950.654734, -1.6256E+00
1725615950.7912858, -1.6256E+00
1725615950.9160717, -1.6256E+00
1725615951.054247, -1.6256E+00
1725615951.180304, -1.6256E+00
1725615951.3024266, -1.6256E+00
1725615951.4271452, -1.6256E+00
1725615951.5530753, -1.6256E+00
1725615951.695914, -1.6256E+00
1725615951.8309546, -1.6255E+00
1725615951.953521, -1.6255E+00
1725615952.076968, -1.6255E+00
1725615952.2029824, -1.6255E+00
1725615952.3308046, -1.6255E+00
1725615952.4682004, -1.6255E+00
1725615952.605601, -1.6255E+00
1725615952.733188, -1.6256E+00
1725615952.8581836, -1.6255E+00
1725615952.9820929, -1.6255E+00
1725615953.1189597, -1.6255E+00
1725615953.2461805, -1.6255E+00
1725615953.3725715, -1.6255E+00
1725615953.5123663, -1.6256E+00
1725615953.6366596, -1.6255E+00
1725615953.7740247, -1.6255E+00
1725615953.8967187, -1.6255E+00
1725615954.0222235, -1.6255E+00
1725615954.1487627, -1.6255E+00
1725615954.271638, -1.6255E+00
1725615954.3971248, -1.6255E+00
1725615954.534485, -1.6254E+00
1725615954.660152, -1.6255E+00
1725615954.7842171, -1.6255E+00
1725615954.9079115, -1.6255E+00
1725615955.0315213, -1.6255E+00
1725615955.1572967, -1.6255E+00
1725615955.301907, -1.6255E+00
1725615955.4395387, -1.6255E+00
1725615955.5771997, -1.6255E+00
1725615955.7078285, -1.6254E+00
1725615955.8395247, -1.6254E+00
1725615955.9733188, -1.6254E+00
1725615956.0992997, -1.6254E+00
1725615956.2361836, -1.6254E+00
1725615956.373925, -1.6254E+00
1725615956.509144, -1.6254E+00
1725615956.641224, -1.6254E+00
1725615956.7659488, -1.6255E+00
1725615956.8896704, -1.6254E+00
1725615957.0157423, -1.6254E+00
1725615957.1527777, -1.6255E+00
1725615957.2783394, -1.6254E+00
1725615957.4194698, -1.6254E+00
1725615957.5581095, -1.6254E+00
1725615957.697016, -1.6254E+00
1725615957.8350549, -1.6254E+00
1725615957.9622178, -1.6254E+00
1725615958.0977752, -1.6255E+00
1725615958.2250814, -1.6255E+00
1725615958.3503985, -1.6255E+00
1725615958.4760084, -1.6254E+00
1725615958.6077018, -1.6254E+00
1725615958.7432222, -1.6253E+00
1725615958.8665946, -1.6253E+00
1725615958.9899836, -1.6253E+00
1725615959.1125102, -1.6253E+00
1725615959.2394133, -1.6253E+00
1725615959.364741, -1.6253E+00
1725615959.493819, -1.6253E+00
1725615959.6947885, -1.6253E+00
1725615959.8294284, -1.6253E+00
1725615959.9650655, -1.6253E+00
1725615960.0984712, -1.6253E+00
1725615960.2354684, -1.6253E+00
1725615960.372826, -1.6253E+00
1725615960.511559, -1.6253E+00
1725615960.6365101, -1.6254E+00
1725615960.7614622, -1.6254E+00
1725615960.8854861, -1.6254E+00
1725615961.0261672, -1.6254E+00
1725615961.163443, -1.6255E+00
1725615961.288109, -1.6254E+00
1725615961.4259908, -1.6254E+00
1725615961.5507402, -1.6254E+00
1725615961.6743424, -1.6254E+00
1725615961.7964268, -1.6254E+00
1725615961.9214494, -1.6254E+00
1725615962.0462704, -1.6254E+00
1725615962.1704087, -1.6254E+00
1725615962.30824, -1.6254E+00
1725615962.4319265, -1.6255E+00
1725615962.5551562, -1.6255E+00
1725615962.6818185, -1.6255E+00
1725615962.8058703, -1.6255E+00
1725615962.9301302, -1.6255E+00
1725615963.067505, -1.6254E+00
1725615963.191246, -1.6254E+00
1725615963.316291, -1.6254E+00
1725615963.4398804, -1.6254E+00
1725615963.5659673, -1.6254E+00
1725615963.689636, -1.6255E+00
1725615963.8204753, -1.6255E+00
1725615963.958656, -1.6256E+00
1725615964.095312, -1.6256E+00
1725615964.2376418, -1.6256E+00
1725615964.373359, -1.6256E+00
1725615964.5080647, -1.6255E+00
1725615964.6404886, -1.6255E+00
1725615964.7652242, -1.6255E+00
1725615964.9014235, -1.6255E+00
1725615965.0255654, -1.6255E+00
1725615965.1536212, -1.6255E+00
1725615965.2999501, -1.6255E+00
1725615965.4305422, -1.6255E+00
1725615965.559951, -1.6255E+00
1725615965.7215195, -1.6255E+00
1725615965.850175, -1.6255E+00
1725615965.9868093, -1.6255E+00
1725615966.1183512, -1.6255E+00
1725615966.2550495, -1.6255E+00
1725615966.3827167, -1.6255E+00
1725615966.5214434, -1.6255E+00
1725615966.6591563, -1.6255E+00
1725615966.784182, -1.6254E+00
1725615966.9234548, -1.6255E+00
1725615967.0613785, -1.6255E+00
1725615967.1984375, -1.6255E+00
1725615967.3211684, -1.6255E+00
1725615967.4477627, -1.6255E+00
1725615967.5856113, -1.6255E+00
1725615967.710529, -1.6255E+00
1725615967.8351233, -1.6255E+00
1725615967.9720142, -1.6256E+00
1725615968.097294, -1.6256E+00
1725615968.2207725, -1.6256E+00
1725615968.3440123, -1.6256E+00
1725615968.4691114, -1.6256E+00
1725615968.6031551, -1.6256E+00
1725615968.7303731, -1.6256E+00
1725615968.867233, -1.6256E+00
1725615969.0050578, -1.6256E+00
1725615969.1292958, -1.6256E+00
1725615969.2584155, -1.6256E+00
1725615969.3913536, -1.6255E+00
1725615969.5191007, -1.6255E+00
1725615969.6553605, -1.6255E+00
1725615969.782022, -1.6255E+00
1725615969.905466, -1.6255E+00
1725615970.0300543, -1.6255E+00
