time.time(), c1pp, c2pp
1727776739.8456988, 7.815E+00, 1.993E+01
1727776739.954379, 7.837E+00, 1.991E+01
1727776740.0654285, 7.806E+00, 1.998E+01
1727776740.177298, 7.819E+00, 1.997E+01
1727776740.2872796, 7.829E+00, 1.985E+01
1727776740.395318, 7.819E+00, 1.990E+01
1727776740.506306, 7.819E+00, 1.995E+01
1727776740.614623, 7.815E+00, 1.990E+01
1727776740.723766, 7.797E+00, 1.998E+01
1727776740.831008, 7.824E+00, 1.994E+01
1727776740.9378338, 7.829E+00, 1.997E+01
1727776741.051813, 7.815E+00, 1.991E+01
1727776741.16071, 7.810E+00, 1.995E+01
1727776741.2693348, 7.829E+00, 1.987E+01
1727776741.3757432, 7.819E+00, 1.993E+01
1727776741.4820824, 7.819E+00, 1.984E+01
1727776741.5903254, 7.837E+00, 1.990E+01
1727776741.6998863, 7.815E+00, 1.995E+01
1727776741.8134882, 7.802E+00, 1.997E+01
1727776741.9233904, 7.802E+00, 1.996E+01
1727776742.0328307, 7.824E+00, 1.995E+01
1727776742.1394784, 7.810E+00, 1.995E+01
1727776742.2489085, 7.815E+00, 1.990E+01
1727776742.3577406, 7.806E+00, 1.988E+01
1727776742.4679434, 7.833E+00, 1.988E+01
1727776742.5742311, 7.833E+00, 1.995E+01
1727776742.6830773, 7.842E+00, 1.987E+01
1727776742.7898386, 7.815E+00, 1.988E+01
1727776742.8991537, 7.806E+00, 1.997E+01
1727776743.0068839, 7.824E+00, 1.997E+01
1727776743.113742, 7.815E+00, 1.988E+01
1727776743.2225475, 7.819E+00, 1.986E+01
1727776743.3316774, 7.842E+00, 1.993E+01
1727776743.4399836, 7.824E+00, 1.995E+01
1727776743.5490649, 7.824E+00, 1.995E+01
1727776743.6589632, 7.828E+00, 1.995E+01
1727776743.767275, 7.815E+00, 1.995E+01
1727776743.8760357, 7.815E+00, 1.997E+01
1727776743.9858284, 7.824E+00, 1.989E+01
1727776744.0955415, 7.824E+00, 1.993E+01
1727776744.2030249, 7.824E+00, 1.994E+01
1727776744.311313, 7.829E+00, 1.994E+01
1727776744.4211888, 7.833E+00, 1.996E+01
1727776744.538967, 7.819E+00, 1.988E+01
1727776744.6465538, 7.828E+00, 1.998E+01
1727776744.7549949, 7.819E+00, 1.988E+01
1727776744.8631258, 7.824E+00, 1.995E+01
1727776744.974859, 7.806E+00, 1.996E+01
1727776745.0832982, 7.833E+00, 1.991E+01
1727776745.1923153, 7.819E+00, 1.989E+01
1727776745.2992668, 7.797E+00, 1.991E+01
1727776745.4151127, 7.819E+00, 1.993E+01
1727776745.5210288, 7.811E+00, 1.995E+01
1727776745.6278234, 7.806E+00, 1.990E+01
1727776745.7364056, 7.806E+00, 1.995E+01
1727776745.8448672, 7.833E+00, 1.989E+01
1727776745.9520833, 7.815E+00, 1.994E+01
1727776746.0589335, 7.802E+00, 1.993E+01
1727776746.1679947, 7.811E+00, 1.995E+01
1727776746.274415, 7.810E+00, 1.991E+01
1727776746.383086, 7.829E+00, 1.993E+01
1727776746.4908407, 7.810E+00, 1.993E+01
1727776746.6013806, 7.833E+00, 1.994E+01
1727776746.708496, 7.833E+00, 1.993E+01
1727776746.8153522, 7.819E+00, 1.989E+01
1727776746.9229798, 7.815E+00, 2.001E+01
1727776747.0313845, 7.824E+00, 1.994E+01
1727776747.1394057, 7.819E+00, 1.997E+01
1727776747.2480147, 7.819E+00, 1.994E+01
1727776747.3616014, 7.828E+00, 1.994E+01
1727776747.4699926, 7.819E+00, 1.995E+01
1727776747.5766861, 7.806E+00, 1.997E+01
1727776747.6829479, 7.824E+00, 1.988E+01
