time.time(), c1pp, c2pp, c1rms, c2rms
1727862791.6177824, 1.544E+01, 1.993E+01, 5.415E+00, 6.936E+00 
1727862791.7327414, 1.542E+01, 1.993E+01, 5.414E+00, 6.935E+00 
1727862791.8512802, 1.543E+01, 1.990E+01, 5.414E+00, 6.934E+00 
1727862791.9679158, 1.543E+01, 1.994E+01, 5.414E+00, 6.936E+00 
1727862792.0850444, 1.543E+01, 1.994E+01, 5.414E+00, 6.936E+00 
1727862792.2019901, 1.543E+01, 1.995E+01, 5.414E+00, 6.934E+00 
1727862792.3159301, 1.543E+01, 1.989E+01, 5.414E+00, 6.934E+00 
1727862792.427998, 1.543E+01, 1.989E+01, 5.414E+00, 6.934E+00 
1727862792.543115, 1.545E+01, 1.989E+01, 5.414E+00, 6.934E+00 
1727862792.6571748, 1.543E+01, 1.994E+01, 5.414E+00, 6.936E+00 
1727862792.7759583, 1.543E+01, 1.993E+01, 5.414E+00, 6.934E+00 
1727862792.889752, 1.543E+01, 1.995E+01, 5.414E+00, 6.933E+00 
1727862793.0044916, 1.543E+01, 1.991E+01, 5.414E+00, 6.933E+00 
1727862793.1233535, 1.544E+01, 1.993E+01, 5.414E+00, 6.935E+00 
1727862793.238333, 1.545E+01, 1.990E+01, 5.414E+00, 6.934E+00 
1727862793.3544858, 1.544E+01, 1.995E+01, 5.414E+00, 6.933E+00 
1727862793.469501, 1.544E+01, 1.993E+01, 5.414E+00, 6.936E+00 
1727862793.5861259, 1.542E+01, 1.994E+01, 5.414E+00, 6.936E+00 
1727862793.7074347, 1.546E+01, 1.993E+01, 5.414E+00, 6.936E+00 
1727862793.823723, 1.545E+01, 1.994E+01, 5.414E+00, 6.935E+00 
1727862793.9389048, 1.543E+01, 1.994E+01, 5.415E+00, 6.935E+00 
1727862794.0555837, 1.544E+01, 1.989E+01, 5.414E+00, 6.933E+00 
1727862794.1685352, 1.544E+01, 1.993E+01, 5.415E+00, 6.934E+00 
1727862794.2871497, 1.545E+01, 1.996E+01, 5.414E+00, 6.934E+00 
1727862794.4044785, 1.545E+01, 1.995E+01, 5.415E+00, 6.934E+00 
1727862794.5177314, 1.543E+01, 1.995E+01, 5.414E+00, 6.934E+00 
1727862794.6425123, 1.544E+01, 1.990E+01, 5.415E+00, 6.932E+00 
1727862794.7547724, 1.544E+01, 1.989E+01, 5.414E+00, 6.935E+00 
1727862794.8709319, 1.543E+01, 1.997E+01, 5.415E+00, 6.936E+00 
1727862794.9838903, 1.543E+01, 1.989E+01, 5.414E+00, 6.933E+00 
1727862795.099562, 1.544E+01, 1.993E+01, 5.414E+00, 6.934E+00 
1727862795.2128181, 1.544E+01, 1.990E+01, 5.414E+00, 6.936E+00 
1727862795.3248072, 1.542E+01, 1.995E+01, 5.414E+00, 6.934E+00 
1727862795.4414701, 1.544E+01, 1.996E+01, 5.415E+00, 6.935E+00 
1727862795.5548737, 1.543E+01, 1.996E+01, 5.415E+00, 6.932E+00 
1727862795.6707332, 1.543E+01, 1.987E+01, 5.414E+00, 6.933E+00 
1727862795.7898548, 1.544E+01, 1.990E+01, 5.415E+00, 6.934E+00 
1727862795.907726, 1.545E+01, 1.987E+01, 5.414E+00, 6.935E+00 
1727862796.0208144, 1.542E+01, 1.989E+01, 5.414E+00, 6.932E+00 
1727862796.1384892, 1.543E+01, 1.991E+01, 5.415E+00, 6.935E+00 
1727862796.2550888, 1.543E+01, 1.993E+01, 5.414E+00, 6.935E+00 
1727862796.3732514, 1.543E+01, 1.995E+01, 5.415E+00, 6.934E+00 
1727862796.487836, 1.544E+01, 1.991E+01, 5.415E+00, 6.935E+00 
1727862796.5985706, 1.544E+01, 1.991E+01, 5.414E+00, 6.935E+00 
1727862796.7121944, 1.544E+01, 1.990E+01, 5.414E+00, 6.935E+00 
1727862796.8278558, 1.544E+01, 1.994E+01, 5.414E+00, 6.937E+00 
1727862796.9462671, 1.545E+01, 1.990E+01, 5.415E+00, 6.935E+00 
1727862797.063263, 1.543E+01, 1.993E+01, 5.414E+00, 6.933E+00 
1727862797.179404, 1.542E+01, 1.991E+01, 5.414E+00, 6.936E+00 
1727862797.2995734, 1.542E+01, 1.993E+01, 5.414E+00, 6.935E+00 
1727862797.4131942, 1.543E+01, 1.993E+01, 5.414E+00, 6.935E+00 
1727862797.5315323, 1.544E+01, 1.993E+01, 5.414E+00, 6.933E+00 
1727862797.6455832, 1.542E+01, 1.993E+01, 5.414E+00, 6.935E+00 
1727862797.7603948, 1.543E+01, 1.997E+01, 5.414E+00, 6.934E+00 
1727862797.879089, 1.545E+01, 1.993E+01, 5.415E+00, 6.936E+00 
1727862797.992072, 1.542E+01, 1.991E+01, 5.414E+00, 6.937E+00 
1727862798.1057043, 1.543E+01, 1.993E+01, 5.414E+00, 6.932E+00 
1727862798.2260692, 1.543E+01, 1.995E+01, 5.414E+00, 6.934E+00 
1727862798.3431778, 1.546E+01, 1.991E+01, 5.414E+00, 6.933E+00 
1727862798.4573038, 1.543E+01, 1.996E+01, 5.414E+00, 6.934E+00 
1727862798.573427, 1.544E+01, 1.991E+01, 5.414E+00, 6.936E+00 
1727862798.6863787, 1.543E+01, 1.993E+01, 5.414E+00, 6.933E+00 
1727862798.805999, 1.545E+01, 1.990E+01, 5.414E+00, 6.935E+00 
1727862798.9373255, 1.542E+01, 1.995E+01, 5.414E+00, 6.933E+00 
1727862799.0527806, 1.542E+01, 1.994E+01, 5.414E+00, 6.933E+00 
1727862799.1695747, 1.542E+01, 1.995E+01, 5.415E+00, 6.933E+00 
1727862799.2829185, 1.544E+01, 1.995E+01, 5.414E+00, 6.935E+00 
1727862799.402554, 1.543E+01, 1.994E+01, 5.414E+00, 6.933E+00 
1727862799.517883, 1.544E+01, 1.989E+01, 5.414E+00, 6.933E+00 
1727862799.6346803, 1.542E+01, 1.993E+01, 5.414E+00, 6.934E+00 
1727862799.7502823, 1.543E+01, 1.989E+01, 5.414E+00, 6.934E+00 
1727862799.865343, 1.544E+01, 1.993E+01, 5.414E+00, 6.934E+00 
1727862799.9833822, 1.543E+01, 1.991E+01, 5.414E+00, 6.934E+00 
1727862800.100284, 1.543E+01, 1.994E+01, 5.414E+00, 6.934E+00 
1727862800.2194538, 1.543E+01, 1.989E+01, 5.414E+00, 6.933E+00 
1727862800.3388991, 1.544E+01, 1.994E+01, 5.415E+00, 6.934E+00 
1727862800.45235, 1.544E+01, 1.990E+01, 5.414E+00, 6.934E+00 
1727862800.5687182, 1.542E+01, 1.993E+01, 5.415E+00, 6.935E+00 
1727862800.6973932, 1.543E+01, 1.995E+01, 5.414E+00, 6.937E+00 
1727862800.8133268, 1.543E+01, 1.991E+01, 5.414E+00, 6.936E+00 
1727862800.9360354, 1.543E+01, 1.989E+01, 5.414E+00, 6.936E+00 
1727862801.0501363, 1.544E+01, 1.993E+01, 5.415E+00, 6.935E+00 
1727862801.1665208, 1.544E+01, 1.989E+01, 5.414E+00, 6.934E+00 
