Resto format 1
Doc: "ToF_28_02_2025_Looking_Nice.setup"
Upload time: 28/2-2025 15:27
Description: ""
Sequence: "Free selection"
ClusterName	SurName	Datatype	Value	Valid	Timestamp
CRIO106TIM12qopt	DelayS	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM12qopt	delayScaled	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM12qopt	pulses	10	0	1	'26/02-25 15:19:19/'
CRIO106TIM12qopt	pulses2	10	0	1	'26/02-25 15:19:19/'
CRIO106TIM12qopt	trig	1	0	1	'26/02-25 15:19:19/'
CRIO106TIM12qopt	trigR	1	0	1	'26/02-25 15:19:19/'
CRIO106TIM12qopt	width	12	1	1	'26/02-25 15:19:19/'
CRIO106TIM12qopt	width2	12	1	1	'26/02-25 15:19:19/'
CRIO106TIM13qopt	arm	1	0	1	'26/02-25 15:19:19/'
CRIO106TIM13qopt	armR	1	0	1	'26/02-25 15:19:19/'
CRIO106TIM13qopt	ctrl	1	0	1	'26/02-25 15:19:19/'
CRIO106TIM13qopt	ctrlR	1	0	1	'26/02-25 15:19:19/'
CRIO106TIM13qopt	delay	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM13qopt	delay2	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM13qopt	Delay2Ms	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM13qopt	delay2NsLim	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM13qopt	Delay2S	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM13qopt	delay2Scaled	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM13qopt	DelayMs	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM13qopt	delayNsLim	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM13qopt	DelayS	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM13qopt	delayScaled	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM13qopt	pulses	10	0	1	'26/02-25 15:19:19/'
CRIO106TIM13qopt	pulses2	10	0	1	'26/02-25 15:19:19/'
