countA, countB, T, UDC, VRF
23V, 8.6*1e-6<built-in method now of type object at 0x00007FF8D81B3AB0>VOcto = 45V
300,2, 1134.2732758522034, -4.0, 417
300,1, 1134.5703241825104, -4.0, 417
299,0, 1134.8662283420563, -4.5, 417
300,0, 1135.1628351211548, -4.5, 417
299,0, 1135.4580733776093, -5.0, 417
300,0, 1135.7530236244202, -5.0, 417
300,0, 1136.0490896701813, -5.0, 418
300,0, 1136.3456904888153, -5.0, 418
300,0, 1136.6397352218628, -4.5, 418
300,0, 1136.933831691742, -4.5, 418
300,0, 1137.2292909622192, -4.0, 418
300,3, 1137.5264410972595, -4.0, 418
300,3, 1137.8228015899658, -3.5, 418
299,9, 1138.118792295456, -3.5, 418
300,11, 1138.4142751693726, -3.0, 418
299,13, 1138.710162639618, -3.0, 418
300,21, 1139.007423400879, -2.5, 418
300,15, 1139.3040013313293, -2.5, 418
300,25, 1139.6001806259155, -2.0, 418
300,18, 1139.8968126773834, -2.0, 418
300,32, 1140.1929602622986, -1.5, 418
300,23, 1140.4880180358887, -1.5, 418
300,30, 1140.7815582752228, -1.0, 418
300,32, 1141.077635526657, -1.0, 418
300,28, 1141.3743269443512, -0.5, 418
299,40, 1141.6716892719269, -0.5, 418
300,25, 1141.9646904468536, 0.0, 418
299,25, 1142.2602279186249, 0.0, 418
300,30, 1142.557294368744, 0.5, 418
300,45, 1142.8538072109222, 0.5, 418
300,34, 1143.1511461734772, 1.0, 418
300,31, 1143.446165561676, 1.0, 418
300,35, 1143.7419962882996, 1.5, 418
300,36, 1144.0362899303436, 1.5, 418
300,53, 1144.3319637775421, 2.0, 418
300,39, 1144.6306977272034, 2.0, 418
299,33, 1144.9259088039398, 2.5, 418
300,44, 1145.222004890442, 2.5, 418
299,33, 1145.5172464847565, 3.0, 418
300,33, 1145.8110404014587, 3.0, 418
300,36, 1146.1061580181122, 3.5, 418
300,39, 1146.4034616947174, 3.5, 418
300,35, 1146.6999711990356, 4.0, 418
300,38, 1146.9937517642975, 4.0, 418
300,30, 1147.2885134220123, 4.5, 418
300,34, 1147.5829446315765, 4.5, 418
300,43, 1147.8790249824524, 4.5, 418
300,40, 1148.175232887268, 4.5, 418
299,37, 1148.4715700149536, 4.0, 418
300,35, 1148.765845298767, 4.0, 418
299,35, 1149.0598487854004, 3.5, 418
300,27, 1149.3533487319946, 3.5, 418
300,43, 1149.6521773338318, 3.0, 418
300,33, 1149.949693441391, 3.0, 418
300,37, 1150.2456271648407, 2.5, 418
300,36, 1150.5423984527588, 2.5, 418
300,39, 1150.8385846614838, 2.0, 418
300,32, 1151.1319289207458, 2.0, 418
300,39, 1151.4286496639252, 1.5, 418
300,48, 1151.7267990112305, 1.5, 418
300,40, 1152.0214402675629, 1.0, 418
299,34, 1152.3174319267273, 1.0, 418
300,52, 1152.6139061450958, 0.5, 418
300,41, 1152.9119322299957, 0.5, 418
300,26, 1153.2095665931702, 0.0, 418
300,36, 1153.5078604221344, 0.0, 418
300,33, 1153.8028814792633, -0.5, 418
300,36, 1154.0984752178192, -0.5, 418
300,40, 1154.3919532299042, -1.0, 418
300,26, 1154.6898429393768, -1.0, 418
300,34, 1154.9846868515015, -1.5, 418
300,34, 1155.2810399532318, -1.5, 418
300,26, 1155.5763983726501, -2.0, 418
299,25, 1155.8704433441162, -2.0, 418
300,20, 1156.1689376831055, -2.5, 418
300,16, 1156.4634463787079, -2.5, 418
300,11, 1156.7599940299988, -3.0, 418
300,10, 1157.0563321113586, -3.0, 418
300,6, 1157.352926492691, -3.5, 418
300,5, 1157.6501429080963, -3.5, 418
300,1, 1157.9463086128235, -4.0, 418
300,2, 1158.2409708499908, -4.0, 418
300,0, 1158.5373449325562, -4.5, 418
300,1, 1158.834538936615, -4.5, 418
299,0, 1159.129822731018, -5.0, 418
300,0, 1159.4264051914215, -5.0, 418
299,0, 1159.719894170761, -5.0, 419
300,0, 1160.014234304428, -5.0, 419
300,0, 1160.3115990161896, -4.5, 419
300,0, 1160.605849981308, -4.5, 419
300,1, 1160.9006514549255, -4.0, 419
300,0, 1161.1954679489136, -4.0, 419
300,4, 1161.4918322563171, -3.5, 419
